"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SIENKIEWICZ Bartłomiej Henryk - KKW KOALICJA OBYWATELSKA";"WILK-GRZYWNA Małgorzata Beata - KKW KOALICJA OBYWATELSKA";"MARCZUŁAJTIS-WALCZAK Jagna Kinga - KKW KOALICJA OBYWATELSKA";"SALWIŃSKA Sylwia Kinga - KKW KOALICJA OBYWATELSKA";"MĘKAL Małgorzata Katarzyna - KKW KOALICJA OBYWATELSKA";"MAJKA Magdalena - KKW KOALICJA OBYWATELSKA";"ZWIERZCHOWSKI Wojciech Mieczysław - KKW KOALICJA OBYWATELSKA";"KOZIOŁ Artur Stanisław - KKW KOALICJA OBYWATELSKA";"WITKA Jacek Paweł - KKW KOALICJA OBYWATELSKA";"SOWA Marek Jan - KKW KOALICJA OBYWATELSKA";"SZEJNA Andrzej Jan - KKW LEWICA";"KOLARSKA Dorota Anna - KKW LEWICA";"LIPIŃSKA-PIEKARSKA Joanna Olszyna - KKW LEWICA";"ŻAK Dominik Piotr - KKW LEWICA";"ANIOŁ Alina Maria - KKW LEWICA";"KOBIELUSZ Paweł Bernard - KKW LEWICA";"HAŃDEREK Joanna Ewa - KKW LEWICA";"KUKLA Robert Łukasz - KKW LEWICA";"TUCHOWSKI Daniel - KKW LEWICA";"DROPEK Magdalena - KKW LEWICA";"JARUBAS Adam Sebastian - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GÓRNIKIEWICZ Piotr Tadeusz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"NOWOGÓRSKA Urszula Teresa - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MOTYCZYŃSKA Monika Elżbieta - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"RAŚ Ireneusz Jacek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KASPRZYK Rafał Marcin - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"TYJAS Jolanta Dorota - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"STOLECKI Piotr - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DĄBROŚ Stella Józefa - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KLĘCZAR Krzysztof Jan - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BERKOWICZ Konrad Szczepan - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BRAUN Grzegorz Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JASKÓŁKA Nadzieja - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KONARSKI Artur Marian - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"IWAN Jasna Gabriela - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DRWAL Aleksandra Urszula - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"NOWOWIEJSKA Ewa Krystyna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KRAJEWSKI Konrad Krzysztof - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"STRZELEC Marcin Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DZIADOSZ Jagoda - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KASELA Andrzej Jan - KW NORMALNY KRAJ";"KLICH Dariusz Zbigniew - KW NORMALNY KRAJ";"BILECKA Fabiola Katarzyna - KW NORMALNY KRAJ";"KURLETO Renata Janina - KW NORMALNY KRAJ";"STANKIEWICZ Aneta - KW NORMALNY KRAJ";"JANAS Mieszko Maria - KW NORMALNY KRAJ";"MIKOŁAJEK Maria Dorota - KW NORMALNY KRAJ";"BURZYŃSKI Zbigniew Józef - KW NORMALNY KRAJ";"ŻÓŁTEK Stanisław Józef - KW POLEXIT";"HAREŃCZYK Adam Wiesław - KW POLEXIT";"SAJDAK Anna Małgorzata - KW POLEXIT";"ŚLUSARCZYK Klaudia Dorota - KW POLEXIT";"BIGAJ Czesław - KW POLEXIT";"ZIĘBA Angelika Natalia - KW POLEXIT";"ŚMIŁEK Oskar Wojciech - KW POLEXIT";"MĘDREK Iwona Marzena - KW POLEXIT";"SZATAN Jarosław Kazimierz - KW POLEXIT";"JAGODZIŃSKI Marcin - KW PL!SP";"JAGODZIŃSKA Monika Ewa - KW PL!SP";"BŁACHUCKA Roksana Magdalena - KW PL!SP";"SZYDŁO Beata Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"MULARCZYK Arkadiusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"TARCZYŃSKI Dominik - KW PRAWO I SPRAWIEDLIWOŚĆ";"KRUPKA Anna Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"WÓJCIK Michał Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"SKRUCH Wojciech - KW PRAWO I SPRAWIEDLIWOŚĆ";"RUSECKA Urszula Beata - KW PRAWO I SPRAWIEDLIWOŚĆ";"WŁOSOWICZ Jacek Władysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"TLAŁKA-DŁUGOSZ Małgorzata - KW PRAWO I SPRAWIEDLIWOŚĆ";"PĘK Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"SKUZA Stanisław - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"NOWAKOWSKA Elżbieta Paula - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"WICHE Mateusz Andrzej - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"KALISZ Beata - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"TORKOWSKA Samuela - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"GOCAŁ Dariusz Krzysztof - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"SIEŃKO Natalia Izabela - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"WOCH Marcin Grzegorz - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"BUGAJSKI Marcin Rafał - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"PETERSON Magdalena - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA"
1;"Szkoła Podstawowa nr 1 im. Stanisława Jachowicza w Bochni, ul. Biała 2, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;102;1;17;2;3;2;1;4;1;21;8;6;1;0;0;0;1;1;0;1;18;3;4;1;10;3;0;3;0;2;28;42;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;90;22;70;0;3;0;2;0;1;0;1;2;0;0;1;0;0;0;1;0
2;"Świetlica Bocheńskich Zakładów Usług Komunalnych Sp. z o. o. w Bochni, ul. 20 Stycznia 46, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;145;12;34;4;1;5;1;5;2;33;6;8;4;1;2;0;2;0;0;0;14;4;0;3;2;1;1;0;0;3;28;49;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118;31;132;0;4;3;3;0;3;3;0;2;0;0;2;0;0;0;0;0
3;"Miejski Ośrodek Sportu i Rekreacji w Bochni Hala Widowiskowo-Sportowa im. W. Stawiarskiego, ul. Księcia Józefa Poniatowskiego 32, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;187;6;25;2;1;7;3;4;1;21;7;4;0;0;0;0;1;0;1;2;24;6;4;1;4;0;3;0;0;0;30;47;2;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;122;40;75;0;4;0;1;1;3;4;1;2;1;0;0;0;0;0;0;0
4;"Remiza Ochotniczej Straży Pożarnej Chodenice w Bochni, ul. Chodenicka 57, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;131;7;21;5;0;5;0;3;0;12;5;9;0;0;0;0;0;0;0;2;26;6;3;1;2;1;2;0;0;2;14;68;1;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;94;33;77;0;6;1;3;0;1;3;1;0;0;0;1;0;0;0;1;0
5;"Miejskie Przedszkole nr 5 w Bochni, ul. Kolejowa 14, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;89;3;13;0;3;5;0;1;1;18;7;2;0;1;1;0;0;1;0;1;19;2;1;0;1;0;1;3;0;0;15;39;3;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;87;34;71;1;2;0;2;0;0;5;2;2;0;0;0;0;0;0;0;1
6;"Szkoła Podstawowa Nr 4 im. św. Barbary w Bochni, ul. Konfederatów Barskich 27, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;144;4;29;2;1;6;0;1;0;21;7;9;1;0;1;0;1;0;0;1;39;7;6;1;2;1;5;1;0;2;37;65;3;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;141;29;90;3;6;3;5;0;0;4;1;0;0;0;0;0;0;0;0;0
7;"Miejskie Przedszkole nr 6 w Bochni, ul. Murowianka 28, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;126;4;35;5;1;1;0;1;1;24;9;12;1;0;1;0;1;1;0;1;34;6;7;1;5;1;0;1;1;4;34;82;2;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;162;53;99;4;7;3;2;0;1;3;0;0;0;1;0;0;0;1;1;0
8;"Urząd Miasta Bochnia, ul. Kazimierza Wielkiego 2, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;242;10;40;3;1;3;0;3;0;21;11;17;2;0;0;1;2;0;0;1;38;6;2;1;2;0;1;2;1;0;31;77;0;1;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;160;39;97;2;14;0;2;0;2;10;0;4;0;0;0;0;0;0;0;0
9;"Szkoła Podstawowa nr 2 im. Kazimierza Brodzińskiego w Bochni, ul. Oracka 6, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;240;4;42;3;2;1;1;5;0;42;6;9;0;1;1;0;1;0;0;4;39;3;2;11;2;0;2;1;0;7;31;71;3;4;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;41;91;1;7;2;1;0;1;6;3;1;0;0;0;0;0;1;0;0
10;"Miejskie Centrum Dzieci i Młodzieży „Ochronka” w Bochni, ul. Henryka Sienkiewicza 2, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;187;9;32;6;0;7;0;3;1;30;13;20;2;0;1;1;1;0;0;3;39;1;3;0;3;1;2;1;1;1;39;48;0;0;0;0;1;0;0;2;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;110;54;102;1;6;2;2;0;1;5;0;1;1;1;0;1;0;0;1;0
11;"Świetlica Specjalnego Ośrodka Szkolno-Wychowawczego im. ks. Jana Twardowskiego w Bochni, ul. Kazimierza Wielkiego 67, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;119;12;26;1;1;5;1;2;1;25;6;13;1;0;1;0;0;1;0;0;28;6;6;4;3;2;0;0;1;4;49;81;4;0;0;1;3;1;0;2;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;109;41;96;1;9;0;5;0;0;3;1;1;0;0;0;0;0;0;3;1
12;"Szkoła Podstawowa nr 5 im. Jana Matejki w Bochni, ul. Kazimierza Wielkiego 71, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;174;10;33;2;2;2;1;4;1;24;9;9;0;0;1;0;0;1;0;1;48;2;8;2;6;7;0;1;0;2;46;105;2;0;0;1;1;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;130;68;150;2;3;1;6;0;1;5;1;4;1;0;0;0;1;0;2;0
13;"Zespół Szkół nr 1 w Bochni, ul. Edwarda Windakiewicza 23, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;106;7;14;3;1;1;0;1;0;12;8;5;0;1;0;0;0;0;0;2;31;7;3;1;2;0;1;0;0;1;24;27;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;96;41;50;0;8;1;1;0;3;4;0;0;0;0;0;0;0;0;1;0
